URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/document-classcodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.46",DocumentClassValueSet,Document Class Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Note: Class code for documents comes from LOINC, and is based upon one of the following:The type of service described by the document. It is described at a very high level in Section 7.3 of the LOINC Manual. The type study performed. It was determined by identifying modalities for study reports. The section of the chart where the document is placed. It was determined from the SETs created for Claims Attachment requests.","StructureDefinition/ch-emr-composition","LOINC"
http://hl7.org/fhir/ValueSet/document-reference-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/ch-emr-documentreference,StructureDefinition/ch-emr-documentreference-advance-directive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.244",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","StructureDefinition/ch-emr-composition,StructureDefinition/ch-emr-documentreference,StructureDefinition/ch-emr-documentreference-advance-directive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/flag-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.122",FlagCategory,Flag Category,"Example list of general categories for flagged issues. (Not complete or necessarily appropriate.)","StructureDefinition/ch-emr-flag-risk-to-healthcare-personnel","THO"
http://hl7.org/fhir/ValueSet/flag-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.120",FlagStatus,FlagStatus,"Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.","StructureDefinition/ch-emr-flag-risk-to-healthcare-personnel","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/ch-emr-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/ch-emr-bundle","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/ch-emr-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/ch-emr-flag-risk-to-healthcare-personnel,StructureDefinition/ch-emr-observation-cognitive-disability,StructureDefinition/ch-emr-observation-resuscitation-status,StructureDefinition/ch-emr-composition,StructureDefinition/ch-emr-documentreference,StructureDefinition/ch-emr-documentreference-advance-directive,StructureDefinition/ch-emr-medicationstatement,StructureDefinition/ch-emr-bundle,StructureDefinition/ch-emr-relatedperson,StructureDefinition/ch-emr-bodystructure,StructureDefinition/ch-emr-observation-physical-disability,StructureDefinition/ch-emr-device,StructureDefinition/ch-emr-deviceusestatement","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/ch-emr-bundle","hl7.fhir.r4.core"
