"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ServiceAssignment","ServiceAssignment","ServiceAssignment","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - ServiceAssignment","3.21(*) 	Leistungszuordnung		Zuordnung von Labor-, Pathologie- oder Berichtsleistungen gemäss Tarifvertrag Anhang B, Kapitel 4	Optional	ServiceAssignment","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ServiceAssignment","ServiceAssignment.OrderingProviderID","ServiceAssignment.OrderingProviderID","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.21.1 (*)	Auftraggeber 	Alphanum.	OE	Optional	OrderingProviderID","3.21.1 (*)	Auftraggeber 	Alphanum.	OE	Optional	OrderingProviderID","","","","","","","","","",,,,,"",,,,"ServiceAssignment.OrderingProviderID",0,1,"",""
"ServiceAssignment","ServiceAssignment.OrderSectionCode","ServiceAssignment.OrderSectionCode","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.21.2 (*)	Auftraggeber Fachbereich	Alphanum, Max. 9 Zeichen	Fachbereich gemäss OAAT Reglement Fachbereiche	Optional	OrderSectionCode","3.21.2 (*)	Auftraggeber Fachbereich	Alphanum, Max. 9 Zeichen	Fachbereich gemäss OAAT Reglement Fachbereiche	Optional	OrderSectionCode","","","","","","","","","",,,,,"",,,,"ServiceAssignment.OrderSectionCode",0,1,"",""
"ServiceAssignment","ServiceAssignment.OrderDate","ServiceAssignment.OrderDate","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/DateTime {[]} {[]}
","3.21.3 (*)	Auftragsdatum	XML-Format Datetime	Auftragsdatum bzw. bei Folgeauftrag ohne Sitzung Datum der Sitzung der Probeentnahme oder Datum der letzten im Bericht beschriebenen Sitzung.	Optional	OrderDate","3.21.3 (*)	Auftragsdatum	XML-Format Datetime	Auftragsdatum bzw. bei Folgeauftrag ohne Sitzung Datum der Sitzung der Probeentnahme oder Datum der letzten im Bericht beschriebenen Sitzung.	Optional	OrderDate","","","","","","","","","",,,,,"",,,,"ServiceAssignment.OrderDate",0,1,"",""
"ServiceAssignment","ServiceAssignment.FollowUpOrder","ServiceAssignment.FollowUpOrder","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Boolean {[]} {[]}
","3.21.4 (*)	Folgeauftrag	Boolean	Flag für Anzeige Folgeauftrag	Optional	FollowUpOrder","3.21.4 (*)	Folgeauftrag	Boolean	Flag für Anzeige Folgeauftrag	Optional	FollowUpOrder","","","","","","","","","",,,,,"",,,,"ServiceAssignment.FollowUpOrder",0,1,"",""
"SessionSectionB","SessionSectionB","SessionSectionB","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - SessionSectionB","3.19 (*)	Sitzung Anhang B","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SessionSectionB","SessionSectionB.SessionIDSectionB","SessionSectionB.SessionIDSectionB","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.19.1 (*)	SitzungsID	GUID	Muss für Leistungen im Rahmen einer Sitzung gemäss Anhang B abgefüllt werden. Wird das Feld verwendet, müssen ALLE Leistungen zur Sitzung mit der gleichen GUID übermittelt werden.	Optional	SessionIDSectionB","3.19.1 (*)	SitzungsID	GUID	Muss für Leistungen im Rahmen einer Sitzung gemäss Anhang B abgefüllt werden. Wird das Feld verwendet, müssen ALLE Leistungen zur Sitzung mit der gleichen GUID übermittelt werden.	Optional	SessionIDSectionB","","","","","","","","","",,,,,"",,,,"SessionSectionB.SessionIDSectionB",0,1,"",""
"SessionSectionB","SessionSectionB.AssignedSessionSectionB","SessionSectionB.AssignedSessionSectionB","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.19.2 (*)	Referenz auf Sitzung	GUID	Muss für Leistungen, die gemäss Anhang B Kap 4 zugeordnet werden sollen, befüllt sein.	Optional	AssignedSessionSectionB","3.19.2 (*)	Referenz auf Sitzung	GUID	Muss für Leistungen, die gemäss Anhang B Kap 4 zugeordnet werden sollen, befüllt sein.	Optional	AssignedSessionSectionB","","","","","","","","","",,,,,"",,,,"SessionSectionB.AssignedSessionSectionB",0,1,"",""
"Text","Text","Text","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Data Type Text","Text","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Text","Text.data","Text.data","","","",1,1,"","","","string {[]} {[]}
","Text","Text","","","","","","","","","",,,,,"",,,,"Text.data",1,1,"",""
"UnsignedInt","UnsignedInt","UnsignedInt","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Data Type UnsignedInt","UnsignedInt","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"UnsignedInt","UnsignedInt.data","UnsignedInt.data","","","",1,1,"","","","unsignedInt {[]} {[]}
","UnsignedInt","UnsignedInt","","","","","","","","","",,,,,"",,,,"UnsignedInt.data",1,1,"",""
"Visit","Visit","Visit","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - Visit","2, Patient","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Visit","Visit.VisitNumber","Visit.VisitNumber","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","2.1, Fall, Alphanum. Max. 40 Zeichen, FID = eindeutiger Schlüssel (ev. Kombination aus PID und lfd. Nr.), der FID ist eindeutig, Obligatorisch","2.1, Fall, Alphanum. Max. 40 Zeichen, FID = eindeutiger Schlüssel (ev. Kombination aus PID und lfd. Nr.), der FID ist eindeutig, Obligatorisch","","","","","","","","","",,,,,"",,,,"Visit.VisitNumber",1,1,"",""
"Visit","Visit.PatientID","Visit.PatientID","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","2.2, Patient.PID, Numerisch, Max. 20 Zeichen, PID, Optional","2.2, Patient.PID, Numerisch, Max. 20 Zeichen, PID, Optional","","","","","","","","","",,,,,"",,,,"Visit.PatientID",0,1,"",""
"Visit","Visit.PatientName","Visit.PatientName","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","2.3, Patient.Name, 50 Zeichen, Name, Optional","2.3, Patient.Name, 50 Zeichen, Name, Optional","","","","","","","","","",,,,,"",,,,"Visit.PatientName",0,1,"",""
"Visit","Visit.PatientGivenName","Visit.PatientGivenName","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","2.4, Patient.Vorname, 50 Zeichen, Vorname, Optional","2.4, Patient.Vorname, 50 Zeichen, Vorname, Optional","","","","","","","","","",,,,,"",,,,"Visit.PatientGivenName",0,1,"",""
"Visit","Visit.PatientBirthDate","Visit.PatientBirthDate","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Date {[]} {[]}
","2.5, Patient.GebDat, XML-Format date, Geb.Datum, Optional","2.5, Patient.GebDat, XML-Format date, Geb.Datum, Optional","","","","","","","","","",,,,,"",,,,"Visit.PatientBirthDate",0,1,"",""
"Visit","Visit.PatientGender","Visit.PatientGender","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","M|F","2.6, Patient Geschlecht, 1 Zeichen, Geschlecht, Optional M,F","","","","","","","","","",,,,,"",,,,"Visit.PatientGender",0,1,"",""
"Visit","Visit.TerminationVisit","Visit.TerminationVisit","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Date {[]} {[]}
","2.7, Fall Abschluss, XML-Format date, Optional","2.7, Fall Abschluss, XML-Format date, Optional","","","","","","","","","",,,,,"",,,,"Visit.TerminationVisit",0,1,"",""
"Visit","Visit.TerminationReason","Visit.TerminationReason","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","2.8, Fall Abschlussgrund, Alphanum., Grunde des Fallabschlusses, Optional","2.8, Fall Abschlussgrund, Alphanum., Grunde des Fallabschlusses, Optional","","","","","","","","","",,,,,"",,,,"Visit.TerminationReason",0,1,"",""
